"","X.1","X","term","year","instructor","dept","course.id","course.name","section","type","responses","enrollment","resp.rate","hrs.per.week","interst.in.student.learning","exp.goals","clarity","provide.feedback","importance","exp.subject","respect","overall.teaching","overall.course","id.name","year.term"
"4125",4125,4125,"Fall","2011","MITAMURA, T. (co-taught)","LTI","11796","QUESTION ANSWERING","A","Lect","2","4","50%","6.5","4","3","3","4","4","4","5","3.5","3.5","11796 - QUESTION ANSWERING",5.8
"4126",4126,4126,"Fall","2011","Mitchell, T. (co-taught)","MLG","10601","MACHINE LEARNING","A","Lect","61","96","64%","10.8","4.67","4.52","4.61","4.27","4.75","4.58","4.77","4.56","4.55","10601 - MACHINE LEARNING",5.8
"4127",4127,4127,"Fall","2011","SINGH, A. (co-taught)","MLG","10601","MACHINE LEARNING","A","Lect","61","96","64%","10.38","4.37","4.27","4.37","4.14","4.37","4.24","4.59","4.2","4.32","10601 - MACHINE LEARNING",5.8
"4128",4128,4128,"Fall","2011","ERIC XING","MLG","10701","MACHINE LEARNING","A","Lect","46","82","56%","11.65","3.63","3.61","3.76","3.2","3.98","3.24","4.07","3","3.39","10701 - MACHINE LEARNING",5.8
"4129",4129,4129,"Fall","2011","LARRY WASSERMAN","MLG","10705","INTERMED STATISTICS","A","Lect","28","39","72%","11.33","5","4.93","5","4.82","4.93","5","5","5","5","10705 - INTERMED STATISTICS",5.8
"4130",4130,4130,"Fall","2011","SMITH, N. (co-taught)","MLG","10710","STR PRDC LNG DSC DTA","A","Lect","1","6","17%","11","5","5","5","5","5","5","5","5","5","10710 - STR PRDC LNG DSC DTA",5.8
"4131",4131,4131,"Fall","2011","COHEN, W. (co-taught)","MLG","10710","STR PRDC LNG DSC DTA","A","Lect","1","6","17%","11","4","5","5","5","4","5","5","4","5","10710 - STR PRDC LNG DSC DTA",5.8
"4132",4132,4132,"Fall","2011","GEOFFREY GORDON","MLG","10915","MLD JOURNAL CLUB","A","Lect","7","9","78%","2.43","4.86","4.71","4.86","4.86","4.86","4.86","4.86","4.86","4.86","10915 - MLD JOURNAL CLUB",5.8
"4133",4133,4133,"Fall","2011","ALONZO KELLY","ROB","16362","MOBILE ROB PRGRM LAB","A","Lect","8","14","57%","12.88","4.75","4.88","4.75","4.5","4.75","4.38","4.88","5","4.88","16362 - MOBILE ROB PRGRM LAB",5.8
"4134",4134,4134,"Fall","2011","GEORGE KANTOR","ROB","16642","MANPLTN MOBLY & CNTR","A","Lect","19","20","95%","10.29","4.05","4","3.95","3.95","4.16","4.21","4.53","4.11","3.63","16642 - MANPLTN MOBLY & CNTR",5.8
"4135",4135,4135,"Fall","2011","MARCEL BERGERMAN","ROB","16650","SYSTEMS ENGINEERING","A","Lect","18","19","95%","5.67","4.67","3.89","4.06","4.5","4.39","4.28","4.78","4.17","3.83","16650 - SYSTEMS ENGINEERING",5.8
"4136",4136,4136,"Fall","2011","JOHN DOLAN","ROB","16681","MRSD PROJECT I","A","Lect","18","19","95%","12.13","4.61","4.39","4.39","4.56","4.5","4.44","4.72","4.56","4.78","16681 - MRSD PROJECT I",5.8
"4137",4137,4137,"Fall","2011","HAGEN SCHEMPF","ROB","16697","MRSD BUSINESS SEMN 1","A","Lect","18","19","95%","6.06","4.72","4.5","4.56","4.89","4.83","4.61","4.94","4.83","4.61","16697 - MRSD BUSINESS SEMN 1",5.8
"4138",4138,4138,"Fall","2011","MARTIAL HEBERT","ROB","16720","COMPUTER VISION","A","Lect","32","47","68%","12.16","4.72","4.63","4.71","4.32","4.84","4.81","4.84","4.81","4.75","16720 - COMPUTER VISION",5.8
"4139",4139,4139,"Fall","2011","AARON STEINFELD","ROB","16764","ETHNOGRAPHY","A","Lect","4","5","80%","5","4","3.75","4.25","3.75","4.5","4.25","4.5","4","4","16764 - ETHNOGRAPHY",5.8
"4140",4140,4140,"Fall","2011","MICHAEL ERDMANN","ROB","16811","MATH FUND FOR ROBOT","A","Lect","29","43","67%","10.48","4.59","4.31","4.24","4.14","4.17","4.41","4.69","4.32","4.21","16811 - MATH FUND FOR ROBOT",5.8
"4141",4141,4141,"Fall","2011","JAMES BAGNELL","ROB","16831","STAT TECH IN ROBOTCS","A","Lect","15","24","63%","9.8","4.47","4.13","4.2","3.2","4.73","4.6","4.73","4.47","4.43","16831 - STAT TECH IN ROBOTCS",5.8
"4142",4142,4142,"Fall","2011","WILLIAM RED WHITTAKER","ROB","16861","MOBILE ROBOT DESIGN","A","Lect","17","27","63%","11.94","4.69","4.44","4.44","4.5","4.81","4.38","4.56","4.63","4.56","16861 - MOBILE ROBOT DESIGN",5.8
"4143",4143,4143,"Fall","2011","HOWARD CHOSET","ROB","16899","SPECIAL TOPICS","A","Lect","3","4","75%","8","4.67","4.67","4.67","4","4.33","4.67","4.67","4.67","4.67","16899 - SPECIAL TOPICS",5.8
"4144",4144,4144,"Fall","2011","HARTMUT GEYER","ROB","16899","SPECIAL TOPICS","B","Lect","7","8","88%","12.29","4.57","4.43","4.71","4.14","4.57","4.43","4.43","4.29","4.43","16899 - SPECIAL TOPICS",5.8
"4145",4145,4145,"Fall","2011","SCHERLIS, W. (co-taught)","SE","17413","SFTWR ENGRNG RFLCTN","A","Lect","3","8","38%","4","5","4.67","4.33","4.67","4","4.33","5","4.67","4.67","17413 - SFTWR ENGRNG RFLCTN",5.8
"4146",4146,4146,"Fall","2011","JASPAN, C. (co-taught)","SE","17413","SFTWR ENGRNG RFLCTN","A","Lect","3","8","38%","4","5","4.67","4.33","4.67","4","4.33","5","4.67","4.67","17413 - SFTWR ENGRNG RFLCTN",5.8
"4147",4147,4147,"Fall","2011","MANUEL ROSSO-LLOPART","SE","17602","INTRO PRSNL SFTWR PR","A1","Lect","16","38","42%","9.13","4.38","4.06","4.13","4","4.19","4.13","4.5","4.19","3.87","17602 - INTRO PRSNL SFTWR PR",5.8
"4148",4148,4148,"Fall","2011","ROSSO-LLOPART, M. (co-taught)","SE","17610","RSK MNGT SFTW IN PRJ","D","Lect","2","3","67%","11","5","4.5","4.5","4.5","5","5","5","5","4","17610 - RSK MNGT SFTW IN PRJ",5.8
"4149",4149,4149,"Fall","2011","ROOT, D. (co-taught)","SE","17610","RSK MNGT SFTW IN PRJ","D","Lect","2","3","67%","11","5","4.5","4.5","4.5","5","5","5","5","4","17610 - RSK MNGT SFTW IN PRJ",5.8
"4150",4150,4150,"Fall","2011","BASS, M. (co-taught)","SE","17629","ARCHTG ENTRS SYSTEMS","A","Lect","10","13","77%","9.33","4.3","4","4","3.9","4.11","4","4.5","3.9","4.4","17629 - ARCHTG ENTRS SYSTEMS",5.8
"4151",4151,4151,"Fall","2011","BASS, L. (co-taught)","SE","17629","ARCHTG ENTRS SYSTEMS","A","Lect","10","13","77%","9.33","4.4","4.2","4.3","4","4.6","4.7","4.9","4.6","4.6","17629 - ARCHTG ENTRS SYSTEMS",5.8
"4152",4152,4152,"Fall","2011","ROSSO-LLOPART, M. (co-taught)","SE","17630","CMP SCI SFTW PRC ENG","A","Lect","5","6","83%","11.6","5","4.8","4.8","4.8","5","5","5","4.8","4.6","17630 - CMP SCI SFTW PRC ENG",5.8
"4153",4153,4153,"Fall","2011","LATTANZE, A. (co-taught)","SE","17630","CMP SCI SFTW PRC ENG","A","Lect","5","6","83%","11.6","5","4.8","4.6","4.8","5","4.8","5","4.6","4.8","17630 - CMP SCI SFTW PRC ENG",5.8
"4154",4154,4154,"Fall","2011","JAMES ROZUM","SE","17635","SOFTWARE MEASUREMENT","D","Lect","3","4","75%","5","4.67","4.33","4.33","4.33","4.67","4.33","5","4.67","4.67","17635 - SOFTWARE MEASUREMENT",5.8
"4155",4155,4155,"Fall","2011","MARCO VIEIRA","SE","17640","MANGING TECH PEOPLE","PP","Lect","10","12","83%","10","3.9","4","4.1","2.9","3.9","3.8","4.7","3.6","3.5","17640 - MANGING TECH PEOPLE",5.8
"4156",4156,4156,"Fall","2011","ANTHONY LATTANZE","SE","17643","HARDWRE FOR SW ENGRS","A","Lect","2","2","100%","5","5","5","5","5","5","5","5","5","5","17643 - HARDWRE FOR SW ENGRS",5.8
"4157",4157,4157,"Fall","2011","DAVID GARLAN","SE","17651","MODELS SOFTWR SYSTMS","A","Lect","24","33","73%","12.3","4.5","4.33","4.58","4.46","4.29","4.58","4.42","4.46","4.54","17651 - MODELS SOFTWR SYSTMS",5.8
"4158",4158,4158,"Fall","2011","DAWN MCLAUGHLIN","SE","17651","MODELS SOFTWR SYSTMS","D","Lect","3","3","100%","12","5","4.67","4.33","5","4.67","5","5","4.67","4.67","17651 - MODELS SOFTWR SYSTMS",5.8
"4159",4159,4159,"Fall","2011","PEDRO BIZARRO","SE","17651","MODELS SOFTWR SYSTMS","PP","Lect","10","11","91%","13.4","3.1","3.4","3.3","3.5","3.1","3.5","3.9","3.3","3.2","17651 - MODELS SOFTWR SYSTMS",5.8
"4160",4160,4160,"Fall","2011","HERBSLEB, J. (co-taught)","SE","17652","MTHDS DECIDE DESIGN","A","Lect","23","33","70%","9.96","4.17","4.04","4","3.87","4.05","4.17","4.65","4.39","4.04","17652 - MTHDS DECIDE DESIGN",5.8
"4161",4161,4161,"Fall","2011","BREAUX, T. (co-taught)","SE","17652","MTHDS DECIDE DESIGN","A","Lect","23","33","70%","9.91","4","3.83","3.83","3.91","3.87","3.91","4.61","3.96","3.96","17652 - MTHDS DECIDE DESIGN",5.8
"4162",4162,4162,"Fall","2011","MICHAEL CLARK","SE","17652","MTHDS DECIDE DESIGN","D","Lect","9","13","69%","11.33","4.56","4","4","4.11","4","3.63","4.11","4.33","4.33","17652 - MTHDS DECIDE DESIGN",5.8
"4163",4163,4163,"Fall","2011","MARIO RELA","SE","17652","MTHDS DECIDE DESIGN","PP","Lect","11","11","100%","8.82","4.82","4.45","4.45","4.18","4.82","4.82","4.82","4.73","4.64","17652 - MTHDS DECIDE DESIGN",5.8
"4164",4164,4164,"Fall","2011","ROOT, D. (co-taught)","SE","17653","MANAGE SFTWR DVLPMT","A","Lect","25","35","71%","10.88","4.72","4.44","4.64","4.28","4.48","4.56","4.52","4.6","4.44","17653 - MANAGE SFTWR DVLPMT",5.8
"4165",4165,4165,"Fall","2011","MIRANDA, E. (co-taught)","SE","17653","MANAGE SFTWR DVLPMT","A","Lect","25","35","71%","10.4","4.44","4.24","4.28","4.16","4.24","4.44","4.48","4.2","4.28","17653 - MANAGE SFTWR DVLPMT",5.8
"4166",4166,4166,"Fall","2011","GREENHALGH LUBAS, D. (co-taught)","SE","17653","MANAGE SFTWR DVLPMT","D","Lect","11","17","65%","9.64","4.27","4.36","4.18","4.18","4.09","4","4.55","4.18","4.36","17653 - MANAGE SFTWR DVLPMT",5.8
"4167",4167,4167,"Fall","2011","ROOT, D. (co-taught)","SE","17653","MANAGE SFTWR DVLPMT","D","Lect","11","17","65%","10","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.6","17653 - MANAGE SFTWR DVLPMT",5.8
"4168",4168,4168,"Fall","2011","MARIO RELA","SE","17653","MANAGE SFTWR DVLPMT","PP","Lect","10","11","91%","12.5","3.6","4","4.2","4","4","4","4.4","3.9","4.1","17653 - MANAGE SFTWR DVLPMT",5.8
"4169",4169,4169,"Fall","2011","JENNIFER CIROLI","SE","17656","COMMNCTN SOFT ENGR I","A","Lect","13","18","72%","3","4.77","4.31","4.08","4.69","4.46","4.54","4.77","4.31","3.92","17656 - COMMNCTN SOFT ENGR I",5.8
"4170",4170,4170,"Fall","2011","THOMAS KEATING","SE","17656","COMMNCTN SOFT ENGR I","C","Lect","9","15","60%","3.33","5","4.78","4.67","5","4.78","4.78","5","5","4.89","17656 - COMMNCTN SOFT ENGR I",5.8
"4171",4171,4171,"Fall","2011","ROSSO-LLOPART, M. (co-taught)","SE","17671","SFTWR DEV STUDIO I","A","Lect","12","18","67%","9.5","4.5","4.33","4.5","4.5","4.5","4.5","4.67","4.5","4.5","17671 - SFTWR DEV STUDIO I",5.8
"4172",4172,4172,"Fall","2011","LATTANZE, A. (co-taught)","SE","17671","SFTWR DEV STUDIO I","A","Lect","12","18","67%","9.2","4.6","4.6","4.4","4.4","4.4","4.4","4.6","4.4","4.4","17671 - SFTWR DEV STUDIO I",5.8
"4173",4173,4173,"Fall","2011","ROOT, D. (co-taught)","SE","17671","SFTWR DEV STUDIO I","A","Lect","12","18","67%","9.88","4.63","4.13","4.38","4.63","4.38","4.13","4.5","4.38","4.38","17671 - SFTWR DEV STUDIO I",5.8
"4174",4174,4174,"Fall","2011","BASS, M. (co-taught)","SE","17671","SFTWR DEV STUDIO I","A","Lect","12","18","67%","9","4.7","4.4","4.1","4.4","4.4","4","4.2","4.2","4.2","17671 - SFTWR DEV STUDIO I",5.8
"4175",4175,4175,"Fall","2011","MIRANDA, E. (co-taught)","SE","17671","SFTWR DEV STUDIO I","A","Lect","12","18","67%","9","4.5","3.67","3.83","3.83","3.67","4","4.17","3.5","3.83","17671 - SFTWR DEV STUDIO I",5.8
"4176",4176,4176,"Fall","2011","ROOT, D. (co-taught)","SE","17671","SFTWR DEV STUDIO I","PP","Lect","5","7","71%","12.5","4","4","4","3","4","3","4","4","4","17671 - SFTWR DEV STUDIO I",5.8
"4177",4177,4177,"Fall","2011","VIEIRA, M. (co-taught)","SE","17671","SFTWR DEV STUDIO I","PP","Lect","5","7","71%","12.8","3.2","3.4","3.2","3.4","3.8","3.6","4","3.2","4","17671 - SFTWR DEV STUDIO I",5.8
"4178",4178,4178,"Fall","2011","MARQUES, P. (co-taught)","SE","17671","SFTWR DEV STUDIO I","PP","Lect","5","7","71%","11","3","3","3","4","4","4","3","3","4","17671 - SFTWR DEV STUDIO I",5.8
"4179",4179,4179,"Fall","2011","RELA, M. (co-taught)","SE","17671","SFTWR DEV STUDIO I","PP","Lect","5","7","71%","12","5","4.33","4.33","4.33","4.33","4.33","5","4.33","4.33","17671 - SFTWR DEV STUDIO I",5.8
"4180",4180,4180,"Fall","2011","RUPINO, P. (co-taught)","SE","17671","SFTWR DEV STUDIO I","PP","Lect","5","7","71%","12.5","4","4","3.5","4","3.5","4","4.5","4","4","17671 - SFTWR DEV STUDIO I",5.8
"4181",4181,4181,"Fall","2011","ROSSO-LLOPART, M. (co-taught)","SE","17674","SOFTWR DEV STUDIO IV","A","Lect","10","18","56%","7.4","3.5","3.33","3.17","3.5","3.33","3.5","3.5","3.67","3.5","17674 - SOFTWR DEV STUDIO IV",5.8
"4182",4182,4182,"Fall","2011","LATTANZE, A. (co-taught)","SE","17674","SOFTWR DEV STUDIO IV","A","Lect","10","18","56%","6.2","3","3","3","3","3","3","3","3","3","17674 - SOFTWR DEV STUDIO IV",5.8
"4183",4183,4183,"Fall","2011","ROOT, D. (co-taught)","SE","17674","SOFTWR DEV STUDIO IV","A","Lect","10","18","56%","6.29","2.75","2.63","2.75","2.63","2.88","2.75","2.75","2.75","2.75","17674 - SOFTWR DEV STUDIO IV",5.8
"4184",4184,4184,"Fall","2011","BASS, M. (co-taught)","SE","17674","SOFTWR DEV STUDIO IV","A","Lect","10","18","56%","7.5","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","17674 - SOFTWR DEV STUDIO IV",5.8
"4185",4185,4185,"Fall","2011","MIRANDA, E. (co-taught)","SE","17674","SOFTWR DEV STUDIO IV","A","Lect","10","18","56%","7.25","3","3","3.2","3","3.2","3","3.2","3","3.2","17674 - SOFTWR DEV STUDIO IV",5.8
"4186",4186,4186,"Fall","2011","ROOT, D. (co-taught)","SE","17674","SOFTWR DEV STUDIO IV","PP","Lect","6","9","67%","8.75","3.67","3.67","3.67","3.33","4","4","4.33","4.33","4","17674 - SOFTWR DEV STUDIO IV",5.8
"4187",4187,4187,"Fall","2011","VIEIRA, M. (co-taught)","SE","17674","SOFTWR DEV STUDIO IV","PP","Lect","6","9","67%","8.6","3.4","3.6","3.6","3.4","3.8","3.6","3.8","3.8","4","17674 - SOFTWR DEV STUDIO IV",5.8
"4188",4188,4188,"Fall","2011","MARQUES, P. (co-taught)","SE","17674","SOFTWR DEV STUDIO IV","PP","Lect","6","9","67%","9","3","3","3","3","3","3","3","3","4","17674 - SOFTWR DEV STUDIO IV",5.8
"4189",4189,4189,"Fall","2011","RELA, M. (co-taught)","SE","17674","SOFTWR DEV STUDIO IV","PP","Lect","6","9","67%","9","2","2","2","2","2","2","2","2.5","3","17674 - SOFTWR DEV STUDIO IV",5.8
"4190",4190,4190,"Fall","2011","BIZARRO, P. (co-taught)","SE","17674","SOFTWR DEV STUDIO IV","PP","Lect","6","9","67%","9","2","2","2","2","2","2","2","2.5","3","17674 - SOFTWR DEV STUDIO IV",5.8
"4191",4191,4191,"Fall","2011","ROOT, D. (co-taught)","SE","17677","PRACTICUM SOFT ENG I","D","Lect","2","7","29%","14","3","2","2","2","2","2","","2","2","17677 - PRACTICUM SOFT ENG I",5.8
"4192",4192,4192,"Fall","2011","PETERSON, A. (co-taught)","SE","17677","PRACTICUM SOFT ENG I","D","Lect","2","7","29%","14","5","5","5","5","5","5","5","5","5","17677 - PRACTICUM SOFT ENG I",5.8
"4193",4193,4193,"Fall","2011","ROSSO-LLOPART, M. (co-taught)","SE","17678","PRACTICUM SE II","A","Lect","8","13","62%","11","4.25","4.25","4.38","4.5","4.38","4.38","4.38","4.38","4.5","17678 - PRACTICUM SE II",5.8
"4194",4194,4194,"Fall","2011","ROOT, D. (co-taught)","SE","17678","PRACTICUM SE II","A","Lect","8","13","62%","10.63","4.38","4.25","4.25","4.25","4.25","4.38","4.25","4.38","4.38","17678 - PRACTICUM SE II",5.8
"4195",4195,4195,"Fall","2011","BASS, M. (co-taught)","SE","17678","PRACTICUM SE II","A","Lect","8","13","62%","11","4.38","4.25","4.38","4.38","4.5","4.25","4.5","4.38","4.38","17678 - PRACTICUM SE II",5.8
"4196",4196,4196,"Fall","2011","ROSSO-LLOPART, M. (co-taught)","SE","17678","PRACTICUM SE II","D","Lect","4","7","57%","12","4.67","4.67","4.67","4.67","4.67","4.67","4.67","4.67","4.67","17678 - PRACTICUM SE II",5.8
"4197",4197,4197,"Fall","2011","ROZUM, J. (co-taught)","SE","17678","PRACTICUM SE II","D","Lect","4","7","57%","12","5","5","5","5","5","5","5","5","5","17678 - PRACTICUM SE II",5.8
"4198",4198,4198,"Fall","2011","ROOT, D. (co-taught)","SE","17678","PRACTICUM SE II","D","Lect","4","7","57%","14","5","5","5","5","5","5","5","5","5","17678 - PRACTICUM SE II",5.8
"4199",4199,4199,"Fall","2011","PETERSON, A. (co-taught)","SE","17678","PRACTICUM SE II","D","Lect","4","7","57%","14","5","5","5","5","5","5","5","5","5","17678 - PRACTICUM SE II",5.8
"4200",4200,4200,"Fall","2011","PAULO RUPINO","SE","17690","SEMINAR IN SOFT PROC","PP","Lect","1","3","33%","11","5","5","5","5","5","5","5","5","5","17690 - SEMINAR IN SOFT PROC",5.8
"4201",4201,4201,"Fall","2011","DAVID GARLAN","SE","17751","MODELS SOFTWR SYSTMS","A","Lect","2","2","100%","11","4.5","4","4.5","4.5","5","5","5","4.5","5","17751 - MODELS SOFTWR SYSTMS",5.8
"4202",4202,4202,"Fall","2011","HERBSLEB, J. (co-taught)","SE","17752","MTHDS DECIDE DESIGN","A","Lect","2","2","100%","9.5","4","4.5","4","4","4.5","3.5","5","4.5","4","17752 - MTHDS DECIDE DESIGN",5.8
"4203",4203,4203,"Fall","2011","BREAUX, T. (co-taught)","SE","17752","MTHDS DECIDE DESIGN","A","Lect","2","2","100%","9.5","4.5","4","4","4.5","4","4","5","4","4","17752 - MTHDS DECIDE DESIGN",5.8
"4204",4204,4204,"Semester","year","instructor","dept","Course ID","course name","Section","type","Responses","Enrollment","Resp. Rate %","1: hrs per week 5","2: interest in student learning","3: explain course requirements","4: clear learning goals","5: instructor provides feedback to students","6: importance of subject","7: explains subject matter","8: show respect for students","9: overall teaching","10: overall course","Course ID - course name",11
"4205",4205,4205,"","2010","","","","Year of 2010","","","6265","11469","55%","9.4","4.18","4.07","4.12","3.87","4.2","4.12","4.38","4.06","4.01"," - Year of 2010",4
"4206",4206,4206,"Summer","2010","GREGORY KESDEN","CS","15110","INTRO TO PROGRAMMING","E","Lect","14","33","42%","11.86","3.14","3.43","3.36","2.5","3.14","3.21","2.86","3.29","3.36","15110 - INTRO TO PROGRAMMING",4.6
"4207",4207,4207,"Summer","2010","MARGARET REID-MILLER","CS","15110","INTRO TO PROGRAMMING","S","Lect","2","18","11%","14","3.5","4","4.5","3.5","4","4.5","5","4.5","5","15110 - INTRO TO PROGRAMMING",4.6
"4208",4208,4208,"Summer","2010","ANANDA GUNAWARDENA","CS","15121","INTRO DTA STRUCTURES","E","Lect","12","27","44%","10","4.25","4.17","4.25","3.83","4.67","4.27","4.67","4.17","4.08","15121 - INTRO DTA STRUCTURES",4.6
"4209",4209,4209,"Summer","2010","VICTOR ADAMCHIK","CS","15121","INTRO DTA STRUCTURES","S","Lect","11","17","65%","11","3.91","4.09","4.27","3.73","4.27","4.27","4.09","4","4.09","15121 - INTRO DTA STRUCTURES",4.6
"4210",4210,4210,"Summer","2010","ANANDA GUNAWARDENA","CS","15121","INTRO DTA STRUCTURES","U","Lect","2","7","29%","12.5","4.5","4","4.5","4","4.5","4","5","4","4","15121 - INTRO DTA STRUCTURES",4.6
"4211",4211,4211,"Summer","2010","TIMOTHY HOFFMAN","CS","15123","EFFCTV PGMMNG C UNIX","S","Lect","11","32","34%","12.36","4","4.18","4.27","4.27","4.45","4.18","4.27","3.91","4.09","15123 - EFFCTV PGMMNG C UNIX",4.6
"4212",4212,4212,"Summer","2010","TIMOTHY HOFFMAN","CS","15123","EFFCTV PGMMNG C UNIX","U","Lect","1","14","7%","14","4","4","4","4","4","4","4","5","5","15123 - EFFCTV PGMMNG C UNIX",4.6
"4213",4213,4213,"Summer","2010","GREGORY KESDEN","CS","15211","FUND DATA STRUCT ALG","E","Lect","7","11","64%","11","3.43","3","3.57","2.86","3.57","3.14","3.71","3.29","3.14","15211 - FUND DATA STRUCT ALG",4.6
"4214",4214,4214,"Summer","2010","VICTOR ADAMCHIK","CS","15211","FUND DATA STRUCT ALG","S","Lect","5","19","26%","11.6","3.8","4.6","4.6","3.6","4.4","4.6","4.6","4.4","4.8","15211 - FUND DATA STRUCT ALG",4.6
"4215",4215,4215,"Summer","2010","GREGORY KESDEN","CS","15211","FUND DATA STRUCT ALG","U","Lect","3","12","25%","11","3","1.67","3","2.67","2","2.67","3","3","2.67","15211 - FUND DATA STRUCT ALG",4.6
"4216",4216,4216,"Summer","2010","THOMAS KEATING","CS","15221","TECHNCL COMMUNCTN CS","S","Lect","8","16","50%","11","5","4.75","4.88","5","4.88","4.88","5","5","4.75","15221 - TECHNCL COMMUNCTN CS",4.6
"4217",4217,4217,"Summer","2010","YASIR KHALIFA","CS","15337","WEB APPLCTN DEVLPMNT","W","Lect","1","2","50%","5","5","5","5","5","5","5","5","5","5","15337 - WEB APPLCTN DEVLPMNT",4.6
"4218",4218,4218,"Summer","2010","YASIR KHALIFA","CS","15469","COMP GAME DES & DEVP","W","Lect","1","6","17%","8","5","5","5","5","5","5","5","5","5","15469 - COMP GAME DES & DEVP",4.6
"4219",4219,4219,"Summer","2010","MYERS, B. (co-taught)","HCI","5672","HCI PROJECT II","M","Lect","7","48","15%","13.14","3.71","3.43","3.57","4.14","4.29","4","3.57","3.86","4.29","5672 - HCI PROJECT II",4.6
"4220",4220,4220,"Summer","2010","DATE, J. (co-taught)","HCI","5672","HCI PROJECT II","M","Lect","7","48","15%","13.14","4.57","3.57","3.86","4.14","4.14","4","3.43","3.57","4","5672 - HCI PROJECT II",4.6
"4221",4221,4221,"Summer","2010","KATHLEEN CARLEY","ISR","8997","COS GRAD READ RSRCH","R","Lect","1","15","7%","11","5","5","5","5","5","5","5","5","5","8997 - COS GRAD READ RSRCH",4.6
"4222",4222,4222,"Summer","2010","MANUEL ROSSO-LLOPART","SE","17602","INTRO PRSNL SFTWR PR","O6","Lect","2","7","29%","5","3","3.5","4","4","3.5","4","4","4","3.5","17602 - INTRO PRSNL SFTWR PR",4.6
"4223",4223,4223,"Summer","2010","MARK HUTCHINS","SE","17610","RSK MNGT SFTW IN PRJ","O","Lect","5","7","71%","12.2","4.2","2.4","3.2","2.8","3.8","4","3.4","3","2.8","17610 - RSK MNGT SFTW IN PRJ",4.6
"4224",4224,4224,"Summer","2010","EDUARDO MIRANDA","SE","17622","EST SFT DEV MNTN PRJ","M5","Lect","16","25","64%","7.25","4.44","4.13","4.38","4.31","4.56","4.25","4.56","4.38","4.19","17622 - EST SFT DEV MNTN PRJ",4.6
"4225",4225,4225,"Summer","2010","JAMES ROZUM","SE","17635","SOFTWARE MEASUREMENT","M","Lect","1","10","10%","8","5","5","5","5","5","5","5","5","5","17635 - SOFTWARE MEASUREMENT",4.6
"4226",4226,4226,"Summer","2010","DAVID ROOT","SE","17653","MANAGE SFTWR DVLPMT","O","Lect","5","15","33%","12.2","4.8","4.6","4.4","4.4","4.8","4.8","5","4.6","4.4","17653 - MANAGE SFTWR DVLPMT",4.6
"4227",4227,4227,"Summer","2010","ALFRED PETERSON","SE","17655","ARCH SFTWR SYSTEMS","O","Lect","4","5","80%","10.25","4.25","4","4.5","4.75","4.33","4.25","4.33","4","4.5","17655 - ARCH SFTWR SYSTEMS",4.6
"4228",4228,4228,"Summer","2010","ROSSO-LLOPART, M. (co-taught)","SE","17673","SOFTWR DEV STUDO III","M","Lect","1","20","5%","14","4","4","4","4","4","4","4","5","5","17673 - SOFTWR DEV STUDO III",4.6
"4229",4229,4229,"Summer","2010","LATTANZE, A. (co-taught)","SE","17673","SOFTWR DEV STUDO III","M","Lect","1","20","5%","14","4","4","4","4","4","4","4","5","5","17673 - SOFTWR DEV STUDO III",4.6
"4230",4230,4230,"Summer","2010","ROOT, D. (co-taught)","SE","17673","SOFTWR DEV STUDO III","M","Lect","1","20","5%","14","4","4","4","4","4","4","4","5","5","17673 - SOFTWR DEV STUDO III",4.6
"4231",4231,4231,"Summer","2010","ROOT, D. (co-taught)","SE","17673","SOFTWR DEV STUDO III","PP","Lect","2","11","18%","14","3.5","3.5","4","4","4","4","4","3.5","4","17673 - SOFTWR DEV STUDO III",4.6
"4232",4232,4232,"Summer","2010","VIEIRA, M. (co-taught)","SE","17673","SOFTWR DEV STUDO III","PP","Lect","2","11","18%","14","4","4.5","4.5","4.5","4","4.5","4.5","4.5","4.5","17673 - SOFTWR DEV STUDO III",4.6
"4233",4233,4233,"Summer","2010","MARQUES, P. (co-taught)","SE","17673","SOFTWR DEV STUDO III","PP","Lect","2","11","18%","14","4","4","4","4","4","4","4","4","4","17673 - SOFTWR DEV STUDO III",4.6
"4234",4234,4234,"Summer","2010","ROSSO-LLOPART, M. (co-taught)","SE","17677","PRACTICUM SOFT ENG I","M","Lect","3","6","50%","6","4.67","4.67","4.67","4.67","4.67","4.67","4.67","4.67","4.67","17677 - PRACTICUM SOFT ENG I",4.6
"4235",4235,4235,"Summer","2010","LATTANZE, A. (co-taught)","SE","17677","PRACTICUM SOFT ENG I","M","Lect","3","6","50%","6","4","4.33","4.33","4","4.33","4.33","4","4.33","4.33","17677 - PRACTICUM SOFT ENG I",4.6
"4236",4236,4236,"Summer","2010","ROOT, D. (co-taught)","SE","17677","PRACTICUM SOFT ENG I","M","Lect","3","6","50%","8","4","4","4","4","4","4","4","4","4","17677 - PRACTICUM SOFT ENG I",4.6
"4237",4237,4237,"Summer","2010","BASS, M. (co-taught)","SE","17677","PRACTICUM SOFT ENG I","M","Lect","3","6","50%","11","5","5","5","4.67","4.67","5","5","4.67","4.67","17677 - PRACTICUM SOFT ENG I",4.6
